groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00539329.txt,..\..\Submissions\gt4hist\00539329.txt,1641,1679,0.9104204753,gt4hist\00539329.txt,gt4hist,00539329.txt,0
..\..\groundtruth\00539330.txt,..\..\Submissions\gt4hist\00539330.txt,1654,1697,0.8972188634,gt4hist\00539330.txt,gt4hist,00539330.txt,0
..\..\groundtruth\00539331.txt,..\..\Submissions\gt4hist\00539331.txt,1597,1602,0.9173450219,gt4hist\00539331.txt,gt4hist,00539331.txt,0
..\..\groundtruth\00539332.txt,..\..\Submissions\gt4hist\00539332.txt,1567,1576,0.910657307,gt4hist\00539332.txt,gt4hist,00539332.txt,0
..\..\groundtruth\00539333.txt,..\..\Submissions\gt4hist\00539333.txt,1528,1554,0.8488219895,gt4hist\00539333.txt,gt4hist,00539333.txt,0
..\..\groundtruth\00539334.txt,..\..\Submissions\gt4hist\00539334.txt,1582,1597,0.9266750948,gt4hist\00539334.txt,gt4hist,00539334.txt,0
..\..\groundtruth\00539335.txt,..\..\Submissions\gt4hist\00539335.txt,1466,1506,0.9017735334,gt4hist\00539335.txt,gt4hist,00539335.txt,0
..\..\groundtruth\00539336.txt,..\..\Submissions\gt4hist\00539336.txt,1548,1576,0.8598191214,gt4hist\00539336.txt,gt4hist,00539336.txt,0
..\..\groundtruth\00539337.txt,..\..\Submissions\gt4hist\00539337.txt,1618,1640,0.8782447466,gt4hist\00539337.txt,gt4hist,00539337.txt,0
..\..\groundtruth\00539338.txt,..\..\Submissions\gt4hist\00539338.txt,1536,1582,0.9290364583,gt4hist\00539338.txt,gt4hist,00539338.txt,0
..\..\groundtruth\00539339.txt,..\..\Submissions\gt4hist\00539339.txt,1591,1602,0.9063482087,gt4hist\00539339.txt,gt4hist,00539339.txt,0
..\..\groundtruth\00539340.txt,..\..\Submissions\gt4hist\00539340.txt,1596,1663,0.8859649123,gt4hist\00539340.txt,gt4hist,00539340.txt,0
..\..\groundtruth\00539341.txt,..\..\Submissions\gt4hist\00539341.txt,1603,1598,0.8708671241,gt4hist\00539341.txt,gt4hist,00539341.txt,0
..\..\groundtruth\00539342.txt,..\..\Submissions\gt4hist\00539342.txt,1497,1548,0.92251169,gt4hist\00539342.txt,gt4hist,00539342.txt,0
..\..\groundtruth\00539343.txt,..\..\Submissions\gt4hist\00539343.txt,1579,1609,0.8201393287,gt4hist\00539343.txt,gt4hist,00539343.txt,0
