groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00525435.txt,..\..\Submissions\gt4hist\00525435.txt,1225,1273,0.4595918367,gt4hist\00525435.txt,gt4hist,00525435.txt,0
..\..\groundtruth\00525436.txt,..\..\Submissions\gt4hist\00525436.txt,1532,1591,0.8831592689,gt4hist\00525436.txt,gt4hist,00525436.txt,0
..\..\groundtruth\00525437.txt,..\..\Submissions\gt4hist\00525437.txt,1545,1544,0.8330097087,gt4hist\00525437.txt,gt4hist,00525437.txt,0
..\..\groundtruth\00525438.txt,..\..\Submissions\gt4hist\00525438.txt,909,953,0.8459845985,gt4hist\00525438.txt,gt4hist,00525438.txt,0
..\..\groundtruth\00525439.txt,..\..\Submissions\gt4hist\00525439.txt,1017,1062,0.7895771878,gt4hist\00525439.txt,gt4hist,00525439.txt,0
..\..\groundtruth\00525440.txt,..\..\Submissions\gt4hist\00525440.txt,287,317,0.7700348432,gt4hist\00525440.txt,gt4hist,00525440.txt,0
..\..\groundtruth\00525441.txt,..\..\Submissions\gt4hist\00525441.txt,777,831,0.8030888031,gt4hist\00525441.txt,gt4hist,00525441.txt,0
..\..\groundtruth\00525442.txt,..\..\Submissions\gt4hist\00525442.txt,1642,1684,0.8574908648,gt4hist\00525442.txt,gt4hist,00525442.txt,0
..\..\groundtruth\00525443.txt,..\..\Submissions\gt4hist\00525443.txt,1589,1656,0.8256765261,gt4hist\00525443.txt,gt4hist,00525443.txt,0
..\..\groundtruth\00525444.txt,..\..\Submissions\gt4hist\00525444.txt,1537,1583,0.8601171113,gt4hist\00525444.txt,gt4hist,00525444.txt,0
..\..\groundtruth\00525445.txt,..\..\Submissions\gt4hist\00525445.txt,1359,1399,0.8513612951,gt4hist\00525445.txt,gt4hist,00525445.txt,0
..\..\groundtruth\00525446.txt,..\..\Submissions\gt4hist\00525446.txt,1396,1437,0.8631805158,gt4hist\00525446.txt,gt4hist,00525446.txt,0
..\..\groundtruth\00525447.txt,..\..\Submissions\gt4hist\00525447.txt,1570,1607,0.8840764331,gt4hist\00525447.txt,gt4hist,00525447.txt,0
..\..\groundtruth\00525448.txt,..\..\Submissions\gt4hist\00525448.txt,1484,1458,0.7769541779,gt4hist\00525448.txt,gt4hist,00525448.txt,0
..\..\groundtruth\00525449.txt,..\..\Submissions\gt4hist\00525449.txt,1527,1565,0.8611656843,gt4hist\00525449.txt,gt4hist,00525449.txt,0
..\..\groundtruth\00525450.txt,..\..\Submissions\gt4hist\00525450.txt,1425,1437,0.7143859649,gt4hist\00525450.txt,gt4hist,00525450.txt,0
..\..\groundtruth\00525451.txt,..\..\Submissions\gt4hist\00525451.txt,1434,1500,0.8563458856,gt4hist\00525451.txt,gt4hist,00525451.txt,0
..\..\groundtruth\00525452.txt,..\..\Submissions\gt4hist\00525452.txt,1507,1552,0.8871930989,gt4hist\00525452.txt,gt4hist,00525452.txt,0
